Question,Option A,Option B,Option C,Option D,Answer
0,What is the capital city of France?,Paris,London,Berlin,Rome,Paris
1,"Which planet is known as the ""Red Planet""?",Venus,Mars,Jupiter,Saturn,Mars
2,What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,Blue Whale
3,"Who wrote the famous play ""Romeo and Juliet""?",William Shakespeare,Jane Austen,Charles Dickens,Mark Twain,William Shakespeare
4,In which country was the Olympic Games first held?,Greece,Egypt,Italy,China,Greece
5,What is the chemical symbol for water?,H2O,CO2,O2,N2,H2O
6,What is the tallest mountain in the world?,Mount Everest,Mount Kilimanjaro,Mount Fuji,Mount McKinley,Mount Everest
7,What is the main component of air?,Oxygen,Carbon dioxide,Nitrogen,Helium,Nitrogen
8,"Which animal is often referred to as the ""King of the Jungle""?",Lion,Tiger,Elephant,Giraffe,Lion
9,What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean
10,Which country is known for inventing pizza?,Italy,Greece,Spain,France,Italy
11,"Who is the author of the ""Harry Potter"" book series?",J.R.R. Tolkien,J.K. Rowling,George R.R. Martin,Stephen King,J.K. Rowling
12,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au
13,Which country is famous for the Great Barrier Reef?,Australia,Brazil,Canada,India,Australia
14,What is the largest continent on Earth?,Europe,North America,Asia,South America,Asia
15,What is the capital city of Japan?,Beijing,Tokyo,Seoul,Bangkok,Tokyo
16,"Which planet is known as the ""Morning Star"" or ""Evening Star""?",Venus,Mercury,Mars,Jupiter,Venus
17,Who is the famous scientist who formulated the theory of relativity?,Isaac Newton,Galileo Galilei,Albert Einstein,Nikola Tesla,Albert Einstein
18,What is the largest desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Atacama Desert,Sahara Desert
19,What is the chemical symbol for carbon?,C,Ca,Co,Cr,C
20,Which country is known for the famous landmark the Eiffel Tower?,France,Spain,Italy,Germany,France
21,What is the main gas responsible for climate change?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide
22,Who was the first person to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,Neil Armstrong
23,What is the largest animal on Earth?,Blue Whale,African Elephant,Great White Shark,Polar Bear,Blue Whale
24,Which country is known as the Land of the Rising Sun?,China,Japan,Korea,Vietnam,Japan
25,What is the chemical symbol for iron?,Fe,Au,Hg,Cu,Fe
26,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci
27,What is the largest bird in the world by wingspan?,Albatross,Eagle,Hawk,Penguin,Albatross
28,What is the currency of Japan?,Yen,Dollar,Euro,Pound,Yen
29,Which gas do plants absorb during photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
30,"Which planet is known as the ""Blue Planet""?",Venus,Mars,Earth,Saturn,Earth
31,What is the chemical symbol for helium?,He,Hg,H,Ne,He
32,Which country is famous for its tulips and windmills?,Netherlands,Belgium,Denmark,Sweden,Netherlands
33,What is the largest river in the world by discharge?,Amazon River,Nile River,Yangtze River,Mississippi River,Amazon River
34,"Who is the author of ""To Kill a Mockingbird""?",Harper Lee,John Steinbeck,F. Scott Fitzgerald,Mark Twain,Harper Lee
35,Which gas is responsible for the ozone layer depletion?,Oxygen,Nitrogen,Carbon dioxide,Chlorofluorocarbons,Chlorofluorocarbons
36,What is the largest planet in our solar system?,Venus,Mars,Jupiter,Saturn,Jupiter
37,"Which country is known as the ""Land of the Midnight Sun""?",Norway,Sweden,Finland,Iceland,Norway
38,What is the chemical symbol for silver?,Ag,Au,Hg,Pb,Ag
39,Who is the founder of Microsoft?,Bill Gates,Steve Jobs,Mark Zuckerberg,Jeff Bezos,Bill Gates
40,Which animal is known for carrying its babies in a pouch?,Kangaroo,Koala,Elephant,Giraffe,Kangaroo
41,What is the largest species of shark?,Great White Shark,Tiger Shark,Bull Shark,Hammerhead Shark,Great White Shark
42,What is the currency of the United States?,Yen,Dollar,Euro,Pound,Dollar
43,Which gas is essential for respiration?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
44,What is the largest island in the world?,Greenland,Madagascar,Indonesia,Japan,Greenland
45,"Who is the author of ""Pride and Prejudice""?",Jane Austen,Emily Bronte,Charlotte Bronte,Charles Dickens,Jane Austen
46,Which gas is used by plants to perform photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
47,What is the largest animal in the world by land mass?,Elephant,Hippopotamus,Giraffe,Rhinoceros,Elephant
48,"Which country is known as the ""Land of Smiles""?",Thailand,Vietnam,Indonesia,Malaysia,Thailand
49,What is the chemical symbol for oxygen?,O,He,N,C,O
50,Which artist painted the Sistine Chapel ceiling?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Michelangelo
51,What is the fastest land animal?,Cheetah,Lion,Leopard,Elephant,Cheetah
52,What is the currency of the United Kingdom?,Yen,Dollar,Euro,Pound,Pound
53,Which gas is known as laughing gas?,Oxygen,Nitrogen,Carbon dioxide,Nitrous oxide,Nitrous oxide
54,What is the largest city in the world by population?,Beijing,Shanghai,Tokyo,Delhi,Tokyo
55,"Who wrote the play ""Hamlet""?",William Shakespeare,Jane Austen,Charles Dickens,Mark Twain,William Shakespeare
56,Which gas makes up the majority of Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Helium,Nitrogen
57,What is the largest fish in the world?,Great White Shark,Tiger Shark,Blue Whale,Humpback Whale,Blue Whale
58,"Which country is known as the ""Land of Fire and Ice""?",Norway,Sweden,Finland,Iceland,Iceland
59,What is the chemical symbol for nitrogen?,N,O,H,Ne,N
60,Who is the founder of Apple Inc.?,Bill Gates,Steve Jobs,Mark Zuckerberg,Jeff Bezos,Steve Jobs
61,Which animal is known for its black and white stripes?,Zebra,Giraffe,Elephant,Lion,Zebra
62,What is the tallest tree in the world?,Redwood,Sequoia,Pine,Oak,Redwood
63,What is the currency of Canada?,Yen,Dollar,Euro,Canadian Dollar,Canadian Dollar
64,Which gas do humans exhale during respiration?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
65,What is the largest reef system in the world?,Great Barrier Reef,Coral Triangle,Red Sea,Andaman Reef,Great Barrier Reef
66,"Who wrote the novel ""1984""?",George Orwell,Aldous Huxley,Ray Bradbury,Jane Austen,George Orwell
67,"Which gas is known as ""Marsh Gas""?",Oxygen,Nitrogen,Carbon dioxide,Methane,Methane
68,What is the tallest building in the world?,Burj Khalifa,Shanghai Tower,One World Trade Center,Petronas Towers,Burj Khalifa
69,"Who is the author of ""The Catcher in the Rye""?",J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,J.D. Salinger
70,Which gas is used in balloons for buoyancy?,Oxygen,Nitrogen,Carbon dioxide,Helium,Helium
71,What is the largest country in the world by land area?,Russia,Canada,United States,China,Russia
72,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Michelangelo
73,What is the fastest water animal?,Dolphin,Shark,Jellyfish,Tuna,Tuna
74,What is the currency of Australia?,Yen,Dollar,Euro,Australian Dollar,Australian Dollar
75,Which gas is responsible for the greenhouse effect?,Oxygen,Nitrogen,Carbon dioxide,Methane,Carbon dioxide
76,What is the tallest animal in the world?,Elephant,Giraffe,Lion,Horse,Giraffe
77,"Which country is known as the ""Land of Pharaohs""?",Egypt,Sudan,Algeria,Morocco,Egypt
78,What is the chemical symbol for hydrogen?,H,He,O,N,H
79,Who is the founder of Amazon?,Bill Gates,Steve Jobs,Mark Zuckerberg,Jeff Bezos,Jeff Bezos
80,Which animal is known for its black and white coloration and is native to China?,Panda,Tiger,Lion,Leopard,Panda
81,What is the largest hot desert in the world?,Sahara Desert,Gobi Desert,Arabian Desert,Kalahari Desert,Sahara Desert
82,What is the currency of the Eurozone?,Yen,Dollar,Euro,Pound,Euro
83,Which gas is used in light bulbs to produce light?,Oxygen,Nitrogen,Carbon dioxide,Argon,Argon
84,What is the tallest mountain in North America?,Mount McKinley,Mount Everest,Mount Kilimanjaro,Mount Fuji,Mount McKinley
85,"Who wrote the play ""Macbeth""?",William Shakespeare,Jane Austen,Charles Dickens,Mark Twain,William Shakespeare
86,What is the chemical symbol for calcium?,Ca,Au,Hg,Cu,Ca
87,Which animal is the largest primate in the world?,Gorilla,Chimpanzee,Orangutan,Human,Gorilla
88,What is the largest island country in the world?,Madagascar,Indonesia,Philippines,Japan,Indonesia
89,What is the currency of China?,Yuan,Dollar,Euro,Yen,Yuan
90,Which gas do vehicles produce that contributes to air pollution?,Oxygen,Carbon dioxide,Nitrogen,Ozone,Carbon dioxide
91,What is the largest city in the United States by population?,New York City,Los Angeles,Chicago,Houston,New York City
92,"Who wrote the novel ""The Great Gatsby""?",George Orwell,Aldous Huxley,F. Scott Fitzgerald,Mark Twain,F. Scott Fitzgerald
93,"Which gas is known as ""Laughing Gas""?",Oxygen,Nitrogen,Carbon dioxide,Nitrous oxide,Nitrous oxide
94,What is the tallest tree species in the world?,Redwood,Sequoia,Pine,Oak,Redwood
95,What is the currency of India?,Yen,Dollar,Euro,Rupee,Rupee
96,Which gas do plants release during respiration?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
97,What is the largest coral reef in the world?,Great Barrier Reef,Coral Triangle,Red Sea,Andaman Reef,Great Barrier Reef
98,"Who wrote the dystopian novel ""Brave New World""?",George Orwell,Aldous Huxley,Ray Bradbury,Jane Austen,Aldous Huxley
99,"Which gas is known as ""Swamp Gas""?",Oxygen,Nitrogen,Carbon dioxide,Methane,Methane
100,What is the tallest building in the United States?,Empire State Building,One World Trade Center,Willis Tower,Chrysler Building,One World Trade Center
101,"Who is the author of ""The Lord of the Rings"" trilogy?",J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,Stephen King,J.R.R. Tolkien
102,"Which animal is known as the ""King of the Beasts""?",Lion,Tiger,Elephant,Giraffe,Lion
103,What is the largest active volcano in Europe?,Mount Vesuvius,Mount Etna,Mount St. Helens,Mount Kilimanjaro,Mount Etna
104,What is the currency of Russia?,Yen,Dollar,Euro,Ruble,Ruble
105,Which gas is used in carbonated drinks to make them fizzy?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide
106,What is the tallest mountain in South America?,Mount McKinley,Mount Everest,Mount Kilimanjaro,Aconcagua,Aconcagua
